Year,Minority,Major,Programming,Programming_Scale,Statistics,Letter_Grade,Requirement,Birthday,Extrovert,People_Texted,Hours_of_Sleep,Handedness,Sleep_Position,Pets,Piercings,Languages
First Year,No,Business,FALSE,2,FALSE,Yes,Yes,7/15,4,12,6,Right-handed,On your right side,TRUE,0,2
First Year,No,"Applied Math, Data Science",FALSE,5,FALSE,Yes,Yes,3/22,2,3,7,Right-handed,On your right side,FALSE,0,2
Third Year,No,Cognitive Science,FALSE,4,FALSE,Yes,Yes,1/19,4,10,8,Left-handed,On your stomach,TRUE,0,3
First Year,No,Business,FALSE,2,TRUE,Yes,Yes,9/6,4,5,8,Right-handed,On your right side,FALSE,0,2
Second Year,No,Economics,FALSE,2,FALSE,Yes,Yes,11/20,6,4,8,Right-handed,On your left side,FALSE,0,2
First Year,No,Business,FALSE,3,FALSE,Yes,Yes,8/23,7,9,8,Right-handed,On your back,TRUE,0,2
First Year,No,Molecular and Cell Biology,FALSE,3,FALSE,Yes,Yes,9/19,8,6,7,Right-handed,On your back,TRUE,5,4
First Year,I don't know,Public Health,FALSE,2,TRUE,Yes,Yes,7/4,7,8,7,Right-handed,On your left side,TRUE,2,4
First Year,Yes,Molecular and Cell Biology,FALSE,4,TRUE,Yes,Yes,8/8,8,15,5,Right-handed,On your back,FALSE,2,3
First Year,I don't know,Computer Science,FALSE,3,TRUE,Yes,Yes,7/16,8,4,6,Right-handed,On your left side,FALSE,0,4
First Year,No,Molecular and Cell Biology,FALSE,5,FALSE,Yes,Yes,3/28,7,5,8,Right-handed,On your left side,FALSE,3,3
Fourth Year,Yes,Molecular and Cell Biology,TRUE,1,TRUE,Yes,No,1/27,6,5,7,Right-handed,On your right side,FALSE,0,4
First Year,No,neuroscience,TRUE,2,TRUE,Yes,Yes,1/4,8,15,7,Left-handed,On your back,FALSE,1,3
First Year,No,"Applied Math, Undecided",FALSE,4,TRUE,Yes,Yes,11/15,6,8,7,Right-handed,On your back,TRUE,2,6
First Year,No,Data Science,FALSE,3,FALSE,Yes,Yes,9/26,5,3,4,Right-handed,On your back,FALSE,13,3
First Year,No,Undecided,FALSE,2,FALSE,Yes,Yes,4/29,2,2,7,Right-handed,On your right side,FALSE,2,4
Fourth Year,No,Media Studies,TRUE,1,TRUE,Yes,Yes,1/25,4,5,9,Right-handed,On your back,FALSE,1,2
First Year,No,"Business, Data Science, Economics",TRUE,2,TRUE,Yes,Yes,3/19,7,8,7,Right-handed,On your left side,FALSE,0,3
Fourth Year,Yes,Civil Engineering,FALSE,4,TRUE,Yes,Yes,2/17,3,2,6.5,Right-handed,On your left side,FALSE,0,2
Third Year,No,Public Health,FALSE,3,FALSE,Yes,Yes,10/9,8,6,8,Right-handed,On your left side,FALSE,5,1
Second Year,No,"Philosophy, doubling in computer science if I get in or cogsci if I don't",FALSE,5,FALSE,Yes,Yes,10/18,4,4,7,Right-handed,On your back,TRUE,2,2
First Year,No,Neuroscience,FALSE,2,FALSE,Yes,Yes,5/23,7,5,7.5,Right-handed,On your left side,TRUE,3,4
First Year,No,Applied Math,FALSE,3,TRUE,Yes,Yes,3/6,8,18,8,Right-handed,On your right side,FALSE,0,4
First Year,No,"Business, EECS",FALSE,4,FALSE,Yes,Yes,4/30,8,10,9,Right-handed,On your back,FALSE,1,1
First Year,Yes,"Computer Science, Data Science",FALSE,3,TRUE,Yes,Yes,9/17,8,10,8,Right-handed,On your left side,FALSE,4,4
First Year,I don't know,Civil Engineering,FALSE,3,TRUE,Yes,Yes,7/14,7,10,6,Right-handed,On your left side,TRUE,1,4
Third Year,I don't know,Undecided,TRUE,2,TRUE,Yes,Yes,12/18,7,4,6,Right-handed,On your back,FALSE,0,3
First Year,Yes,Psychology,TRUE,1,FALSE,Yes,Yes,5/13,5,2,8,Right-handed,On your right side,FALSE,9,2
Second Year,No,Business,FALSE,2,FALSE,Yes,Yes,11/14,5,6,8,Right-handed,On your left side,TRUE,0,2
First Year,Yes,Civil Engineering,TRUE,1,TRUE,Yes,Yes,12/20,6,25,8,Right-handed,On your left side,FALSE,2,3
First Year,No,Legal studies,TRUE,1,FALSE,Yes,Yes,4/13,8,5,7,Right-handed,On your left side,TRUE,1,2
Third Year,Yes,EECS,FALSE,5,FALSE,Yes,Yes,9/16,3,3,7,Left-handed,On your left side,FALSE,0,2
Second Year,No,"Applied Math, Economics",FALSE,5,FALSE,Yes,Yes,11/11,5,5,8,Right-handed,On your left side,TRUE,0,3
Third Year,No,"Cognitive Science, Political Science",FALSE,3,FALSE,Yes,Yes,3/26,8,8,7,Right-handed,On your right side,FALSE,2,2
Second Year,Yes,Media Studies,FALSE,3,FALSE,Yes,Yes,12/30,3,12,6,Right-handed,On your right side,FALSE,4,2
Second Year,I don't know,Molecular Environmental Biology,TRUE,1,TRUE,Yes,No,6/10,5,2,5,Right-handed,On your left side,TRUE,4,4
First Year,Yes,Computer Science,FALSE,2,TRUE,Yes,Yes,12/15,4,5,7,Right-handed,On your back,FALSE,0,2
Fourth Year,No,Integrative Biology,FALSE,1,TRUE,Yes,No,3/29,2,1,6,Left-handed,On your left side,TRUE,0,5
Third Year,No,Molecular and Cell Biology,TRUE,1,TRUE,Yes,No,3/21,8,4,8,Right-handed,On your back,FALSE,0,2
First Year,No,Neuroscience,FALSE,3,TRUE,Yes,Yes,7/16,7,7,7,Right-handed,On your stomach,FALSE,4,2
Third Year,I don't know,Data Science,TRUE,4,TRUE,Yes,Yes,11/11,3,9,9,Right-handed,On your left side,TRUE,1,3
Second Year,No,Applied Math,FALSE,4,FALSE,Yes,Yes,5/1,7,10,8,Right-handed,On your back,TRUE,2,4
Second Year,Yes,"Public Health, Nutritional Sciences",TRUE,1,TRUE,Yes,Yes,8/1,8,5,8,Right-handed,On your right side,FALSE,1,3
