Year,Minority,Major,Programming,Programming_Scale,Statistics,Letter_Grade,Requirement,Birthday,Extrovert,People_Texted,Hours_of_Sleep,Handedness,Sleep_Position,Pets,Piercings,Languages
Second Year,No,Business,TRUE,1,FALSE,Yes,Yes,1/15,4,4,8,Left-handed,On your right side,FALSE,10,1
Second Year,No,Molecular and Cell Biology,FALSE,2,FALSE,Yes,Yes,5/30,7,6,7,Right-handed,On your right side,TRUE,0,3
First Year,Yes,Political Economy,FALSE,2,TRUE,Yes,Yes,12/13,8,5,8,Right-handed,On your stomach,FALSE,0,2
First Year,No,"Business, Bioengineering",FALSE,2,TRUE,Yes,Yes,11/7,9,6,6,Right-handed,On your stomach,FALSE,0,8
First Year,No,"Economics, Molecular and Cell Biology",FALSE,3,TRUE,Yes,Yes,6/6,3,3,7,Right-handed,On your back,TRUE,0,2
First Year,No,Nutrition,TRUE,1,FALSE,Yes,Yes,6/4,7,10,6,Right-handed,On your stomach,FALSE,2,2
Second Year,Yes,Computer Science,FALSE,3,FALSE,Yes,Yes,8/25,3,5,7,Left-handed,On your back,FALSE,0,2
Third Year,No,Statistics,FALSE,4,FALSE,Yes,Yes,8/12,7,5,8,Right-handed,On your right side,FALSE,0,2
Third Year,I don't know,Business,FALSE,2,FALSE,Yes,Yes,8/15,3,4,7,Right-handed,On your left side,TRUE,0,10
First Year,Yes,Undecided,TRUE,1,TRUE,Yes,I don't know,12/18,6,2,6,Left-handed,On your right side,FALSE,0,3
Fourth Year,Yes,"Public Health, Legal Studies",TRUE,1,TRUE,Yes,Yes,8/8,3,2,4,Right-handed,On your back,FALSE,7,3
First Year,No,Molecular and Cell Biology,TRUE,2,FALSE,Yes,Yes,1/2,5,3,7,Left-handed,On your stomach,FALSE,0,2
Second Year,No,Cognitive Science,FALSE,3,FALSE,Yes,Yes,3/10,6,5,8,Left-handed,On your back,TRUE,3,2
Third Year,Yes,Business,FALSE,4,TRUE,No,Yes,6/21,7,4,7,Right-handed,On your left side,FALSE,2,4
Second Year,Yes,"Business, Media Studies",TRUE,3,TRUE,Yes,Yes,1/24,7,4,7,Right-handed,On your stomach,FALSE,3,5
Second Year,No,Economics,TRUE,1,TRUE,Yes,Yes,7/16,7,20,8,Right-handed,On your right side,FALSE,2,3
Third Year,No,Cognitive Science,TRUE,2,TRUE,Yes,Yes,6/22,3,5,6,Right-handed,On your stomach,FALSE,0,3
First Year,Yes,"Data Science, Economics",TRUE,1,TRUE,Yes,Yes,10/13,4,4,9,Right-handed,On your right side,FALSE,0,3
Third Year,No,Business,TRUE,3,TRUE,No,Yes,2/7,6,6,6,Right-handed,On your left side,FALSE,2,3
First Year,No,"Business, Data Science",FALSE,3,TRUE,Yes,Yes,5/10,7,10,7,Right-handed,On your left side,TRUE,2,3
Third Year,Yes,"Cognitive Science, Data Science",FALSE,3,FALSE,Yes,Yes,9/8,4,6,6,Right-handed,On your left side,TRUE,0,3
Third Year,No,"Data Science, ORMS",FALSE,4,FALSE,Yes,Yes,10/1,10,5,8,Right-handed,On your right side,TRUE,4,3
Third Year,Yes,Media Studies,TRUE,2,FALSE,Yes,Yes,7/19,1,4,7,Left-handed,On your left side,FALSE,2,3
Third Year,Yes,Mathematics,TRUE,2,TRUE,Yes,I don't know,8/15,7,2,7,Left-handed,On your right side,FALSE,0,4
Third Year,No,Art history,FALSE,2,FALSE,Yes,No,7/19,4,2,6,Right-handed,On your back,TRUE,2,4
Third Year,Yes,Media Studies,TRUE,1,TRUE,Yes,Yes,6/25,6,3,7,Right-handed,On your right side,FALSE,3,3
First Year,No,English,TRUE,1,TRUE,Yes,Yes,5/14,3,1,7,Right-handed,On your left side,TRUE,0,2
Third Year,Yes,Public Health,TRUE,1,TRUE,Yes,Yes,7/10,3,5,6,Right-handed,On your right side,FALSE,2,2
First Year,No,"Applied Math, Data Science",FALSE,4,FALSE,Yes,Yes,8/12,7,5,6,Right-handed,On your left side,TRUE,0,3
First Year,I don't know,Applied Math,FALSE,3,FALSE,Yes,Yes,11/27,1,2,6.5,Right-handed,On your right side,FALSE,0,2
First Year,No,"Data Science, Economics",FALSE,4,FALSE,Yes,Yes,8/2,5,10,8,Right-handed,On your right side,FALSE,0,3
Third Year,Yes,sociology,FALSE,1,FALSE,Yes,Yes,1/22,8,20,5,Right-handed,On your right side,FALSE,2,3
First Year,No,Genetics & Plant Biology,TRUE,2,TRUE,Maybe,Yes,8/17,7,3,7,Right-handed,On your left side,FALSE,0,2
First Year,No,"Data Science, Astrophysics",FALSE,4,TRUE,Yes,Yes,2/22,7,10,7,Right-handed,On your left side,FALSE,0,3
Third Year,Yes,"Cognitive Science, Data Science",FALSE,3,FALSE,Yes,Yes,1/20,8,6,8,Right-handed,On your right side,FALSE,2,3
First Year,No,Data Science,FALSE,2,FALSE,Yes,Yes,8/10,4,4,6,Right-handed,On your back,FALSE,0,3
First Year,No,nutrition and metabolic biology,TRUE,1,TRUE,Yes,Yes,1/5,6,2,7,Right-handed,On your left side,TRUE,0,2
First Year,Yes,Business,TRUE,2,FALSE,Yes,Yes,1/20,8,2,8,Right-handed,On your stomach,FALSE,0,2
First Year,No,Data Science,FALSE,2,TRUE,Yes,Yes,6/4,6,4,8,Right-handed,On your stomach,FALSE,2,3
First Year,I don't know,Environmental Science,TRUE,1,TRUE,Yes,No,9/18,2,5,6,Right-handed,On your back,FALSE,0,3
First Year,No,Economics,TRUE,2,TRUE,Yes,Yes,7/12,9,10,7,Right-handed,On your back,TRUE,0,4
Second Year,Yes,"Cognitive Science, Public Health",FALSE,2,TRUE,Yes,Yes,6/1,6,5,7,Right-handed,On your right side,FALSE,2,2
Fourth Year,Yes,Media Studies,TRUE,1,TRUE,No,Yes,7/14,4,3,8,Left-handed,On your right side,FALSE,0,1
First Year,No,Environmental Economics and Policy,TRUE,1,TRUE,Yes,Yes,6/21,7,3,9,Right-handed,On your back,FALSE,0,6
First Year,No,Physics,FALSE,2,FALSE,Yes,Yes,6/26,4,6,6,Right-handed,On your stomach,FALSE,0,3
Third Year,Yes,Physics,FALSE,4,TRUE,Yes,Yes,3/2,5,3,7,Right-handed,On your stomach,TRUE,2,2
Third Year,Yes,Public Health,TRUE,3,TRUE,Yes,Yes,12/20,5,2,7,Right-handed,On your right side,FALSE,0,4
First Year,Yes,Statistics,FALSE,4,TRUE,Yes,Yes,7/24,4,5,7,Right-handed,On your stomach,TRUE,3,2
Fifth Year or above,I don't know,"Molecular and Cell Biology, Public Health",FALSE,3,TRUE,Yes,Yes,5/27,8,6,7,Right-handed,On your left side,TRUE,3,3
Third Year,Yes,EECS,FALSE,4,FALSE,Yes,No,7/4,3,3,8,Right-handed,On your right side,TRUE,0,4
Second Year,I don't know,IEOR,FALSE,2,TRUE,Yes,Yes,10/6,7,9,7,Right-handed,On your stomach,FALSE,4,1
Second Year,No,Media Studies,TRUE,2,FALSE,Yes,Yes,10/31,7,5,6,Right-handed,On your right side,FALSE,7,5
First Year,No,Applied Math,FALSE,3,TRUE,Yes,Yes,6/19,8,6,7,Right-handed,On your left side,FALSE,0,2
Second Year,No,"Applied Math, Psychology",FALSE,2,TRUE,Yes,I don't know,6/5,8,8,6,Right-handed,On your right side,FALSE,0,2
First Year,Yes,"Undecided, Sustainable Environmental Design",FALSE,1,TRUE,Yes,Yes,5/6,5,3,5,Right-handed,On your left side,TRUE,5,6
First Year,Yes,"Business, Economics",TRUE,1,TRUE,Yes,Yes,11/29,3,4,8,Right-handed,On your stomach,FALSE,0,2
Second Year,Yes,Public Health,FALSE,3,FALSE,Yes,Yes,1/1,6,3,6,Right-handed,On your right side,FALSE,6,5
Third Year,No,Media Studies,TRUE,1,TRUE,Yes,Yes,6/22,7,10,6,Right-handed,On your back,FALSE,2,3
First Year,No,Psychology,FALSE,1,TRUE,Yes,Yes,6/14,6,3,8,Right-handed,On your back,FALSE,0,2
Third Year,No,Economics,TRUE,3,TRUE,Yes,Yes,7/27,6,2,8,Right-handed,On your left side,TRUE,2,2
Second Year,Yes,Molecular and Cell Biology,TRUE,1,FALSE,Yes,Yes,5/13,7,5,6,Right-handed,On your left side,TRUE,2,5
Third Year,Yes,Computer Science,FALSE,4,FALSE,Maybe,Yes,5/31,2,14,6,Right-handed,On your right side,FALSE,0,4
Second Year,Yes,"Data Science, Rhetoric",FALSE,3,FALSE,Yes,Yes,6/14,5,5,7,Right-handed,On your back,FALSE,4,3
Third Year,Yes,"Mathematics, Statistics",TRUE,1,FALSE,Yes,Yes,9/24,5,0,8,Right-handed,On your back,FALSE,1,4
Second Year,No,Cognitive Science,FALSE,4,FALSE,Yes,Yes,9/12,6,5,6,Right-handed,On your right side,FALSE,5,3
Third Year,I don't know,Media Studies,TRUE,1,FALSE,Yes,Yes,8/4,3,3,5,Left-handed,On your left side,FALSE,4,4
First Year,No,"Business, Computer Science",FALSE,2,TRUE,Yes,Yes,6/26,10,12,7,Right-handed,On your right side,TRUE,3,2
First Year,Yes,"Applied Math, Data Science",TRUE,1,TRUE,Yes,Yes,7/6,7,25,7,Right-handed,On your stomach,TRUE,0,2
Third Year,I don't know,Molecular and Cell Biology,TRUE,1,FALSE,Maybe,No,11/3,5,2,6,Right-handed,On your back,TRUE,4,1
Second Year,Yes,Undecided,FALSE,1,FALSE,Yes,I don't know,1/28,10,18,9,Right-handed,On your left side,TRUE,7,4
Second Year,Yes,"Undecided, Astrophysics",TRUE,1,TRUE,Yes,No,1/11,6,5,6,Right-handed,On your stomach,FALSE,5,4
First Year,No,Applied Math,FALSE,3,FALSE,Yes,No,1/20,8,15,8,Right-handed,On your left side,FALSE,0,1
Third Year,No,"Business, Interdisciplinary Studies, finance and marketing",TRUE,1,TRUE,Yes,I don't know,10/20,7,4,8,Right-handed,On your left side,TRUE,0,2
First Year,I don't know,Environmental Economics and Policy,FALSE,2,TRUE,Yes,I don't know,3/8,9,15,8,Right-handed,On your back,FALSE,1,2
Third Year,No,Media Studies,TRUE,1,TRUE,Yes,Yes,7/10,7,8,8,Right-handed,On your back,FALSE,0,3
Third Year,No,Cognitive Science,TRUE,2,FALSE,Yes,Yes,9/3,4,4,5,Right-handed,On your left side,TRUE,0,4
Third Year,No,Chemical Engineering,FALSE,3,FALSE,Yes,Yes,8/16,7,16,6,Right-handed,On your stomach,FALSE,7,2
Graduate Student,No,Architecture,TRUE,3,TRUE,No,No,12/16,3,5,7,Right-handed,On your back,TRUE,0,3
Third Year,Yes,Cognitive Science,TRUE,2,TRUE,Yes,Yes,5/5,7,3,7,Right-handed,On your right side,TRUE,3,4
Second Year,No,Media Studies,TRUE,1,TRUE,Yes,Yes,11/1,10,20,6,Right-handed,On your right side,FALSE,4,2
First Year,No,EECS,FALSE,3,FALSE,Yes,No,7/21,1,0,6,Right-handed,On your back,TRUE,0,4
First Year,Yes,Neuroscience,TRUE,2,FALSE,Yes,Yes,10/8,7,5,7,Right-handed,On your left side,TRUE,4,1
Second Year,I don't know,artificial intelligence,FALSE,1,FALSE,Yes,Yes,8/13,4,4,7,Right-handed,On your back,TRUE,1,3
First Year,Yes,Political Science,TRUE,1,TRUE,Yes,No,1/14,8,8,6,Right-handed,On your right side,TRUE,2,2
Third Year,No,Chemical Engineering,FALSE,3,TRUE,Yes,Yes,9/21,3,2,7,Right-handed,On your back,TRUE,0,2
First Year,Yes,Political Science,FALSE,5,TRUE,Yes,Yes,11/4,7,6,8,Right-handed,On your left side,FALSE,2,3
Second Year,No,"Cognitive Science, Media Studies",TRUE,1,TRUE,Yes,Yes,12/25,5,3,6,Right-handed,On your right side,FALSE,5,1
Second Year,No,"Applied Math, Environmental Science",FALSE,1,FALSE,Yes,Yes,8/25,3,3,7,Right-handed,On your left side,FALSE,0,4
First Year,I don't know,"Political Science, Psychology, Undecided",FALSE,1,TRUE,Yes,No,11/13,4,5,7,Right-handed,On your right side,FALSE,6,3
First Year,Yes,Data Science,FALSE,2,FALSE,Yes,Yes,12/17,5,2,8,Right-handed,On your right side,FALSE,0,2
Fourth Year,No,Geography,TRUE,1,FALSE,Yes,No,5/7,7,5,7,Right-handed,On your right side,TRUE,7,4
First Year,No,Mechanical Engineering,FALSE,3,FALSE,Yes,Yes,12/6,4,1,6,Right-handed,On your right side,FALSE,0,2
Fifth Year or above,Yes,sociology,TRUE,1,FALSE,Yes,Yes,12/15,4,4,7,Right-handed,On your stomach,FALSE,0,3
Second Year,I don't know,Public Health,TRUE,1,TRUE,Yes,Yes,8/1,7,3,5,Right-handed,On your back,FALSE,1,1
Fourth Year,No,Computer Science,FALSE,5,FALSE,Yes,Yes,12/24,3,3,7,Right-handed,On your back,TRUE,2,4
Second Year,Yes,microbial biology,TRUE,1,FALSE,Yes,Yes,1/17,6,7,6,Left-handed,On your stomach,FALSE,8,5
Third Year,I don't know,Astrophysics,FALSE,5,FALSE,Yes,Yes,11/12,8,25,7,Right-handed,On your stomach,TRUE,4,8
Third Year,No,"Molecular and Cell Biology, Public Health",TRUE,1,FALSE,Yes,Yes,12/2,5,5,5,Right-handed,On your right side,FALSE,2,2
Second Year,No,Economics,TRUE,1,TRUE,Yes,Yes,4/3,8,20,7,Right-handed,On your back,FALSE,0,1
First Year,No,Intended Chemical Bio + Data Science,TRUE,3,TRUE,Yes,Yes,2/19,8,4,7,Right-handed,On your left side,FALSE,2,3
Second Year,Yes,Data Science,FALSE,1,TRUE,Yes,Yes,10/18,5,3,7.5,Right-handed,On your right side,TRUE,0,3
Second Year,Yes,Applied Math,FALSE,3,TRUE,Yes,Yes,3/23,3,5,8,Right-handed,On your left side,FALSE,6,7
Fourth Year,Yes,Public Health,TRUE,1,TRUE,Yes,Yes,11/14,3,4,5,Right-handed,On your left side,TRUE,5,5
First Year,I don't know,Undecided,TRUE,1,FALSE,Yes,I don't know,9/30,7,4,8,Right-handed,On your left side,TRUE,0,3
First Year,Yes,"Psychology, Public Health",TRUE,1,FALSE,Yes,Yes,10/19,7,10,6,Right-handed,On your right side,TRUE,2,3
First Year,No,"Data Science, Economics",FALSE,3,FALSE,Yes,Yes,11/15,9,15,8,Right-handed,On your back,TRUE,0,1
First Year,No,Computer Science,FALSE,5,FALSE,Yes,No,5/16,3,5,6,Right-handed,On your back,TRUE,0,2
First Year,No,"Data Science, Psychology, Sociology",FALSE,2,FALSE,Yes,Yes,7/20,6,10,7,Right-handed,On your left side,FALSE,1,2
First Year,No,neuroscience,FALSE,3,FALSE,Yes,Yes,1/28,8,10,6,Right-handed,On your right side,TRUE,3,5
Third Year,Yes,Sociology  ,TRUE,1,TRUE,Yes,I don't know,7/24,5,2,6,Right-handed,On your left side,FALSE,2,2
Third Year,No,"Data Science, Economics",FALSE,3,FALSE,Yes,Yes,1/28,7,5,6,Right-handed,On your back,TRUE,2,3
Third Year,No,Molecular and Cell Biology,FALSE,2,TRUE,Maybe,No,3/5,6,8,7,Right-handed,On your back,FALSE,5,4
Third Year,No,"Applied Math, Computer Science",FALSE,5,FALSE,Yes,Yes,8/11,6,3,7,Left-handed,On your left side,TRUE,0,4
First Year,No,Computer Science,FALSE,3,TRUE,Yes,Yes,3/7,4,5,7,Right-handed,On your left side,TRUE,0,2
Second Year,No,"Data Science, Economics",TRUE,3,TRUE,Yes,Yes,2/4,7,3,8,Right-handed,On your right side,TRUE,2,2
Second Year,Yes,Business,TRUE,1,FALSE,Yes,Yes,2/15,2,5,5,Right-handed,On your stomach,TRUE,0,7
Second Year,Yes,"Business, Data Science",TRUE,3,FALSE,Yes,Yes,3/9,7,6,7,Left-handed,On your left side,FALSE,0,3
First Year,Yes,"Economics, Molecular and Cell Biology",FALSE,2,FALSE,Yes,Yes,4/25,7,5,8,Right-handed,On your right side,FALSE,4,2
First Year,No,Business,TRUE,2,FALSE,Yes,Yes,2/25,3,4,8,Right-handed,On your back,FALSE,0,1
First Year,Yes,"Political Science, Interdisciplinary Studies, Undecided",TRUE,2,TRUE,Yes,Yes,3/31,5,15,5,Right-handed,On your right side,FALSE,0,2
Fourth Year,Yes,Media Studies,TRUE,1,FALSE,Yes,Yes,10/28,3,5,8,Left-handed,On your right side,FALSE,4,4
Second Year,Yes,Computer Science,FALSE,4,TRUE,Yes,Yes,9/30,10,4,7,Left-handed,On your left side,FALSE,2,2
First Year,No,"Applied Math, Data Science",TRUE,3,TRUE,Yes,Yes,12/26,5,6,8,Right-handed,On your right side,FALSE,2,2
Second Year,No,Applied Math,FALSE,4,FALSE,Yes,No,7/6,4,5,6,Right-handed,On your left side,FALSE,0,3
First Year,No,Data Science,TRUE,2,TRUE,Yes,Yes,12/8,5,6,8,Right-handed,On your right side,FALSE,0,4
Fourth Year,Yes,Educational Sciences,TRUE,2,FALSE,Maybe,No,1/12,7,3,6,Right-handed,On your left side,FALSE,2,2
First Year,No,Political Science,TRUE,1,TRUE,Yes,Yes,3/16,4,7,7,Left-handed,On your back,TRUE,0,2
Third Year,Yes,Media Studies,TRUE,1,FALSE,Yes,Yes,5/13,7,5,7,Right-handed,On your stomach,TRUE,4,4
Third Year,Yes,Computer Science,FALSE,5,FALSE,Maybe,I don't know,8/4,5,4,8,Right-handed,On your right side,FALSE,0,5
First Year,Yes,"Cognitive Science, Economics, Political Economy",FALSE,3,TRUE,Yes,Yes,12/5,9,5,8,Right-handed,On your back,FALSE,1,2
First Year,Yes,"Data Science, Economics",TRUE,2,TRUE,Yes,Yes,9/24,6,3,7,Right-handed,On your left side,FALSE,2,2
First Year,Yes,Aerospace Engineering,TRUE,1,FALSE,Yes,No,12/20,7,4,6,Right-handed,On your stomach,FALSE,0,3
Third Year,Yes,Public Health,TRUE,3,TRUE,Yes,Yes,10/21,10,8,6,Right-handed,On your left side,FALSE,2,3
Fourth Year,I don't know,"Psychology, Neuroscience ",FALSE,3,FALSE,Yes,No,12/23,8,6,6,Right-handed,On your right side,FALSE,3,3
First Year,No,"EECS, IEOR",FALSE,4,FALSE,Yes,Yes,5/2,3,4,6,Right-handed,On your right side,FALSE,0,2
First Year,No,Applied Math,FALSE,5,FALSE,Yes,Yes,1/2,8,7,7,Right-handed,On your right side,TRUE,0,4
Second Year,Yes,Molecular and Cell Biology,TRUE,1,TRUE,Yes,Yes,12/1,9,12,6,Right-handed,On your left side,FALSE,0,2
First Year,No,"Data Science, Economics",TRUE,1,TRUE,Yes,Yes,9/19,7,10,8,Right-handed,On your back,FALSE,3,2
First Year,Yes,"Economics, Mathematics",FALSE,1,TRUE,Yes,Yes,7/6,5,4,8,Right-handed,On your left side,FALSE,2,2
Second Year,I don't know,Bioengineering,FALSE,3,TRUE,Maybe,I don't know,8/1,5,0,7,Right-handed,On your stomach,FALSE,0,2
Fifth Year or above,Yes,Legal Studies,TRUE,1,TRUE,Yes,Yes,9/9,5,2,6,Left-handed,On your stomach,TRUE,6,4
First Year,No,Undecided,TRUE,1,FALSE,No,I don't know,6/17,5,6,8,Right-handed,On your right side,TRUE,0,1
Fourth Year,Yes,Film,TRUE,2,TRUE,Yes,Yes,4/21,5,3,5,Right-handed,On your right side,TRUE,4,3
Third Year,No,Economics,TRUE,1,TRUE,Yes,Yes,12/1,6,4,7,Right-handed,On your right side,FALSE,0,3
Fourth Year,No,Molecular and Cell Biology,TRUE,3,TRUE,Yes,Yes,4/5,7,6,6,Right-handed,On your right side,FALSE,0,3
First Year,No,Architecture,TRUE,1,TRUE,Yes,Yes,11/18,7,6,7,Right-handed,On your stomach,FALSE,2,4
Second Year,No,"Cognitive Science, Computer Science",TRUE,3,TRUE,Yes,No,5/17,6,10,7,Right-handed,On your left side,FALSE,0,4
Second Year,Yes,Chemical Engineering,FALSE,3,TRUE,Maybe,No,7/18,4,2,8,Right-handed,On your right side,FALSE,0,1
Third Year,No,Political Economy,TRUE,2,FALSE,Maybe,No,8/31,5,6,8.5,Right-handed,On your right side,TRUE,0,5
Graduate Student,No,Education,FALSE,2,TRUE,Yes,Yes,2/21,4,5,8,Right-handed,On your left side,TRUE,0,4
Second Year,Yes,Anthropology and Philosophy ,TRUE,1,TRUE,No,Yes,8/1,8,7,7,Right-handed,On your stomach,FALSE,1,5
Third Year,No,Chemistry,FALSE,3,TRUE,Yes,Yes,11/6,6,15,7,Right-handed,On your back,TRUE,4,5
Third Year,No,"Business, Economics",FALSE,3,FALSE,Yes,Yes,3/22,8,10,8,Right-handed,On your back,FALSE,2,4
Second Year,Yes,Cognitive Science,TRUE,1,TRUE,Yes,Yes,4/1,7,3,5,Right-handed,On your back,FALSE,6,4
Third Year,No,"Applied Math, Statistics",FALSE,5,FALSE,Yes,Yes,9/8,8,3,7,Right-handed,On your right side,FALSE,2,8
Fifth Year or above,No,Integrative Biology and Neuroscience Double Major,FALSE,3,FALSE,Yes,No,10/12,6,7,6,Right-handed,On your right side,FALSE,3,7
Fourth Year,No,"Computer Science, Data Science",FALSE,5,FALSE,No,Yes,6/8,5,2,7,Right-handed,On your right side,FALSE,0,3
First Year,No,Undecided,TRUE,2,FALSE,Yes,I don't know,3/18,6,10,7,Right-handed,On your stomach,FALSE,0,2
First Year,No,"Data Science, Political Economy",FALSE,1,FALSE,Maybe,Yes,9/14,7,9,6,Right-handed,On your right side,TRUE,0,1
First Year,Yes,Molecular and Cell Biology,TRUE,1,FALSE,Yes,No,1/7,5,10,7,Right-handed,On your back,FALSE,0,3
First Year,No,Molecular and Cell Biology,FALSE,1,FALSE,Yes,I don't know,8/2,6,10,8,Right-handed,On your left side,FALSE,0,2
First Year,No,"Data Science, Economics",TRUE,2,FALSE,Yes,Yes,8/24,8,4,8,Right-handed,On your right side,FALSE,1,1
Third Year,Yes,Economics,TRUE,2,TRUE,Yes,I don't know,12/4,3,3,7,Right-handed,On your back,TRUE,0,2
Third Year,Yes,"Data Science, IB",FALSE,2,FALSE,Maybe,Yes,5/14,1,5,4,Right-handed,On your back,TRUE,0,3
